col1,col2,col3,col4,col5,col6,col7,col8,col9,id,ra,dec,faper_f160w,eaper_f160w,f_f160w,e_f160w,w_f160w,star_flag,class_star,flux_radius,fwhm_image,flags,use_phot,Separation
977,34.5147086,-5.2563472,1304.649,36.12008,4.69,0,0.998,2.54,6716,34.514685,-5.256332,1244.118546,0.048357,1499.526195,0.222753,0.453444,1,0.99,2.417,3.46,0,0,0.10075663572032997
1312,34.5320049,-5.2479001,595.0596,24.39406,2.67,0,0.958,1.76,9010,34.531974,-5.24787,333.97192,0.042793,401.716076,0.180517,0.579042,1,0.99,2.359,3.53,0,0,0.1549603359359736
1509,34.5677833,-5.2421731,597.9312,24.45285,2.57,0,0.952,1.686,10706,34.567736,-5.242125,304.151507,0.044674,365.596225,0.188136,0.531292,1,0.98,2.419,3.35,0,0,0.24235846013714515
1555,34.5417304,-5.2407476,547.2914,23.39449,2.95,0,0.952,1.76,11109,34.541698,-5.240713,285.763867,0.042499,343.707512,0.177838,0.587061,1,0.98,2.406,3.51,0,0,0.17031317154572564
1859,34.530777,-5.2326259,757.5821,27.5244,3.17,0,0.966,1.941,13727,34.530748,-5.232606,467.711225,0.036237,559.614727,0.170128,0.807498,1,0.98,2.355,3.15,0,0,0.1262576566580506
2778,34.516763,-5.2075165,974.4267,31.21598,4.16,0,0.993,2.374,21091,34.51674,-5.207506,851.870008,0.036563,1019.890642,0.168819,0.793183,1,1.0,2.347,3.38,0,0,0.09070943694954252
3391,34.5887262,-5.1896355,1235.328,35.14738,4.45,0,0.996,2.351,26559,34.588689,-5.18959,1053.068068,0.033141,1256.70655,0.157713,0.96541,1,0.99,2.323,3.27,0,0,0.21123038010537545
3439,34.5841383,-5.1899963,793.6638,28.17223,4.18,0,0.998,2.344,26496,34.584104,-5.189953,675.726737,0.036219,807.14322,0.164886,0.808306,1,0.98,2.339,3.3,0,0,0.19854752705937834
3902,34.5270747,-5.1794787,602.4855,24.5458,2.7,0,0.954,1.699,29434,34.527041,-5.179453,310.558153,0.039345,373.721914,0.166834,0.684972,1,0.98,2.393,3.43,0,0,0.15217930598637455
4742,34.5609294,-5.1605904,1528.724,39.09904,5.6,0,1.0,2.685,34610,34.560889,-5.160555,1728.433946,0.033897,2066.718458,0.181913,0.92284,1,1.0,2.372,3.4,0,0,0.19293162088832652
4883,34.5490973,-5.1587511,1447.428,38.04523,4.17,0,0.998,2.259,35672,34.549071,-5.158719,1158.442779,0.03923,1378.4046,0.181769,0.689003,1,0.99,2.292,3.45,0,0,0.14915073495699532
4956,34.5256069,-5.1546096,1299.293,36.04585,5.29,0,0.986,3.031,36337,34.525578,-5.154582,1920.37474,0.044485,2299.375241,0.232513,0.535824,1,0.98,2.405,3.42,0,0,0.14355960127740058
5218,34.549291,-5.1522309,793.2889,28.16557,3.93,0,0.971,2.362,37513,34.549259,-5.152198,653.182751,0.03872,788.9244,0.181232,0.707262,1,0.99,2.374,3.42,0,0,0.16490012345589253
5396,34.5637743,-5.1443048,1023.223,31.98803,5.21,0,0.976,4.969,38175,34.563734,-5.144262,3919.817381,0.032563,4713.400126,0.203096,1.0,1,0.97,2.453,3.48,0,0,0.21123359715976958
6029,34.5532461,-5.1310836,1074.237,32.77571,4.04,0,0.994,2.227,41659,34.55321,-5.131052,820.638778,0.038358,982.390331,0.173113,0.720676,1,0.99,2.355,3.53,0,0,0.17232483164994694
6041,34.5340343,-5.1306955,755.6144,27.48863,3.32,0,0.97,2.1,42142,34.533995,-5.13067,521.554895,0.039385,627.079095,0.172488,0.683582,1,1.0,2.357,3.52,0,0,0.16817773792529003
