col1,col2,col3,col4,col5,col6,col7,col8,col9,id,ra,dec,faper_f160w,eaper_f160w,faper_f140w,eaper_f140w,f_f160w,e_f160w,w_f160w,star_flag,a_image,b_image,class_star,flux_radius,fwhm_image,flags,contam_flag,use_phot,Separation
977,34.5147086,-5.2563472,1044.66,32.3213,4.69,0,0.998,2.54,6716,34.514685,-5.256332,1244.118546,0.048357,-99.0,-99.0,1499.526195,0.222753,0.453444,1,5.236,5.023,0.99,2.417,3.46,0,0,0,0.10075663572032997
2778,34.516763,-5.2075165,797.2343,28.23545,4.16,0,0.993,2.374,21091,34.51674,-5.207506,851.870008,0.036563,-99.0,-99.0,1019.890642,0.168819,0.793183,1,5.244,5.035,1.0,2.347,3.38,0,0,0,0.09070943694954252
3391,34.5887262,-5.1896355,1024.787,32.0124,4.45,0,0.996,2.351,26559,34.588689,-5.18959,1053.068068,0.033141,1023.074,0.120741,1256.70655,0.157713,0.96541,1,5.376,5.164,0.99,2.323,3.27,0,0,0,0.21123038010537545
3439,34.5841383,-5.1899963,658.3196,25.65787,4.18,0,0.998,2.344,26496,34.584104,-5.189953,675.726737,0.036219,524.7192,0.139419,807.14322,0.164886,0.808306,1,5.097,5.06,0.98,2.339,3.3,0,0,0,0.19854752705937834
4742,34.5609294,-5.1605904,1184.524,34.417,5.6,0,1.0,2.685,34610,34.560889,-5.160555,1728.433946,0.033897,-99.0,-99.0,2066.718458,0.181913,0.92284,1,5.964,5.67,1.0,2.372,3.4,0,0,0,0.19293162088832652
4883,34.5490973,-5.1587511,1220.053,34.92935,4.17,0,0.998,2.259,35672,34.549071,-5.158719,1158.442779,0.03923,-99.0,-99.0,1378.4046,0.181769,0.689003,1,5.178,5.129,0.99,2.292,3.45,0,0,0,0.14915073495699532
4956,34.5256069,-5.1546096,906.2145,30.1035,5.29,0,0.986,3.031,36337,34.525578,-5.154582,1920.37474,0.044485,-99.0,-99.0,2299.375241,0.232513,0.535824,1,5.788,5.596,0.98,2.405,3.42,0,0,0,0.14355960127740058
5218,34.549291,-5.1522309,650.9406,25.51367,3.93,0,0.971,2.362,37513,34.549259,-5.152198,653.182751,0.03872,-99.0,-99.0,788.9244,0.181232,0.707262,1,5.378,5.022,0.99,2.374,3.42,0,0,0,0.16490012345589253
5396,34.5637743,-5.1443048,478.1524,21.86685,5.21,0,0.976,4.969,38175,34.563734,-5.144262,3919.817381,0.032563,-99.0,-99.0,4713.400126,0.203096,1.0,1,6.653,6.478,0.97,2.453,3.48,0,0,0,0.21123359715976958
6029,34.5532461,-5.1310836,899.6187,29.99375,4.04,0,0.994,2.227,41659,34.55321,-5.131052,820.638778,0.038358,-99.0,-99.0,982.390331,0.173113,0.720676,1,5.234,4.857,0.99,2.355,3.53,0,0,0,0.17232483164994694
6041,34.5340343,-5.1306955,643.8973,25.37526,3.32,0,0.97,2.1,42142,34.533995,-5.13067,521.554895,0.039385,-99.0,-99.0,627.079095,0.172488,0.683582,1,4.964,4.873,1.0,2.357,3.52,0,0,0,0.16817773792529003
